Topic,Slug,Content type,Discipline,Category,Funnel stage,Notes,Needs experience?,Expert / Author,Section for insight,Optional questions for expert,Insight type,Source of insight,First-hand experience / Quote
What is AI Share of Voice?,what-is-ai-share-of-voice,Glossary,AI Search,ai_visibility_metrics,TOFU,NEW,N,ranjeeth,,,,,
What is an AI visibility score?,what-is-ai-visibility-score,Glossary,AI Search,ai_visibility_metrics,TOFU,NEW,N,omar,,,,,
What is citation share?,what-is-citation-share,Glossary,AI Search,ai_visibility_metrics,TOFU,NEW,N,rohith,,,,,
What is Share of Model Response?,what-is-share-of-model-response,Glossary,AI Search,ai_visibility_metrics,TOFU,NEW,N,vignesh-sampath,,,,,
What is pay-per-crawl?,what-is-pay-per-crawl,Glossary,Technical,ai_crawlers_access,TOFU,NEW — frontier (Cloudflare),N,ranjeeth,,,,,
AI visibility metrics that actually matter,ai-visibility-metrics-that-matter,Blog,AI Search,ai_visibility_metrics,TOFU,NEW,Y,omar,Signal vs vanity,"1) Which AI-visibility metrics do you actually report, and why those?  2) Which metrics are vanity for AI search?  3) How do you tie a visibility metric to a business outcome?",Experience + Pull-quote,team stack,
How often AI citations change (and what to do about it),how-often-ai-citations-change,Blog,AI Search,ai_seo_research_concepts,TOFU,NEW,Y,rohith,Volatility we've observed,"1) How volatile are client AI citations month to month?  2) What causes the churn, from what you've seen?  3) How do you keep content from decaying out of AI answers?",Experience,audits,
How to set up AI visibility tracking from scratch,set-up-ai-visibility-tracking,Blog,AI Search,geo_aeo_tracking_tools,MOFU,NEW,Y,vignesh-sampath,Tracking-stack setup,1) What's our step-by-step for standing up AI-visibility tracking for a new client?  2) What do teams set up wrong first?  3) Which prompts/queries do you seed the tracking with?,Experience,team stack,
How to monitor brand sentiment in AI answers,monitor-brand-sentiment-in-ai,Blog,Authority,ai_visibility_metrics,MOFU,NEW,Y,ranjeeth,Sentiment monitoring,1) Have you caught (and fixed) negative/incorrect AI brand answers for a client?  2) How do you correct what an LLM 'believes' about a brand?  3) What's the workflow for ongoing sentiment monitoring?,Experience + Pull-quote,Pull from client work,
"How to manage AI crawlers: allow, block, or charge (pay-per-crawl)",manage-ai-crawlers,Blog,Technical,ai_crawlers_access,MOFU,NEW,Y,omar,Crawler-policy decision framework,1) How do you advise clients on allow vs block vs Cloudflare pay-per-crawl?  2) What's the trade-off most teams underestimate?  3) Where do you see this heading?,Experience,PR POV,
How to scale GEO content production without losing quality,scale-geo-content,Blog,Programmatic,geo_optimization_tactics,MOFU,NEW,Y,rohith,Scaling with human-in-the-loop,1) How do we scale citation-worthy content without it going thin?  2) Where does AI-assisted content production break quality?  3) What's your human-in-the-loop QA standard?,Experience + Pull-quote,Pull from client work,
How to audit your AI search visibility,ai-search-visibility-audit,Blog,AI Search,ai_visibility_metrics,MOFU,NEW,Y,vignesh-sampath,Our AI-visibility audit,1) Walk me through our AI-visibility audit end to end.  2) What's the most common gap an audit surfaces?  3) What quick wins come out of a typical audit?,Experience + Pull-quote,audits,
Best AI rank tracking & monitoring tools,best-ai-rank-tracking-tools,Listicle,AI Search,geo_aeo_tracking_tools,MOFU,NEW — SERP is listicle-shaped,N,ranjeeth,,,,,
What is the Brand Visibility Index?,what-is-brand-visibility-index,Glossary,AI Search,ai_visibility_metrics,TOFU,NEW,N,omar,,,,,
What is IndexNow?,what-is-indexnow,Glossary,Technical,ai_crawlers_access,TOFU,NEW,N,rohith,,,,,
What is content decay?,what-is-content-decay,Glossary,Content,ai_seo_research_concepts,TOFU,NEW,N,vignesh-sampath,,,,,
What is prompt coverage?,what-is-prompt-coverage,Glossary,AI Search,ai_visibility_metrics,TOFU,NEW,N,ranjeeth,,,,,
Build vs buy: do you need an AI visibility tool?,build-vs-buy-ai-visibility-tool,Blog,AI Search,geo_aeo_tracking_tools,TOFU,NEW,Y,omar,When tools earn their cost,1) At what point does a client actually need a paid AI-visibility tool?  2) What can you track free vs what needs a tool?  3) Which tools have earned their keep in our stack?,Experience + Pull-quote,team stack,
How to know if your GEO is actually working,is-your-geo-working,Blog,AI Search,ai_visibility_metrics,TOFU,NEW,Y,rohith,Leading vs lagging signals,1) What early signals tell you GEO is working before pipeline shows it?  2) What false signals fool teams?  3) How long before you expect to see movement?,Experience,Pull from client work,
How to set up Profound for AI visibility tracking,set-up-profound,Blog,AI Search,geo_aeo_tracking_tools,MOFU,NEW,Y,vignesh-sampath,Profound setup walkthrough,1) How do we configure Profound for a new client?  2) What does Profound show that others miss?  3) What setup mistakes waste its value?,Experience,team stack,
How to track AI crawler traffic with Cloudflare Radar,track-ai-crawler-traffic,Blog,Technical,ai_crawlers_access,MOFU,NEW,Y,ranjeeth,Crawler-traffic observability,1) What does AI-crawler traffic tell you that's actionable?  2) How do you turn crawler data into content decisions?  3) What surprised you in client crawler logs?,Experience,audits,
How to operationalise GEO as an ongoing program,operationalise-geo-program,Blog,Strategy,agency_geo_frameworks,MOFU,NEW,Y,omar,Running GEO as a program,1) What does a steady-state GEO program look like month to month?  2) Where do one-off GEO efforts fail vs ongoing ones?  3) How do you staff/resource it?,Experience + Pull-quote,Pull from client work,
Best AI content detection / originality tools,best-ai-content-detection-tools,Listicle,Content,ai_content_optimization_tools,MOFU,NEW — SERP is listicle-shaped,N,rohith,,,,,
What is sentiment analysis (for AI answers)?,what-is-sentiment-analysis,Glossary,AI Search,ai_visibility_metrics,TOFU,NEW,N,vignesh-sampath,,,,,
What is a knowledge base (for LLMs)?,what-is-a-knowledge-base,Glossary,AI Search,knowledge_graph_entities,TOFU,NEW,N,ranjeeth,,,,,
How to run a quarterly AI visibility review,quarterly-ai-visibility-review,Blog,AI Search,ai_visibility_metrics,MOFU,NEW,Y,omar,Quarterly review cadence,1) What does our quarterly AI-visibility review actually cover?  2) What decisions come out of it?  3) What do teams skip that they shouldn't?,Experience,team stack,
Best AI SEO learning resources & communities,best-ai-seo-learning-resources,Listicle,Strategy,ai_seo_events_publications,MOFU,NEW — SERP is listicle-shaped,N,rohith,,,,,
